category_id,name,image_url
479,Pop! Home  Star Wars,
480,Pop! Tees & Apparel  Star Wars,
481,Vinyl  Star Wars,
482,Vinyl Super Shogun,
483,Wacky Wobbler  Star Wars - Monster Mash-ups,
484,Wacky Wobblers  Monster Mash-ups,
485,Mystery Vinyl  Steven Universe,
486,Pocket Pop!  Steven Universe,
487,Action Figures  Stranger Things,
488,Other POP! Items  Stranger Things,
489,Pocket Pop!  Stranger Things,
490,Dorbz Strawberry Shortcake,
491,Mystery Vinyl  Street Fighter,
492,Mystery Vinyl  Supernatural,
493,Plush  Supernatural,
494,Pocket Pop!  Supernatural,
495,Action Figures  Taxi Driver,
496,Dorbz  Teenage Mutant Ninja Turtles,
497,Hikari TMNT,
498,Mystery Vinyl  Teenage Mutant Ninja Turtles,
499,Other POP! Items  Teenage Mutant Ninja Turtles,
500,Pocket Pop!  TMNT,
501,Vinyl  Teenage Mutant Ninja Turtles,
502,Wacky Wobbler  Teenage Mutant Ninja Turtles,
503,Action Figures  Terminator,
504,Action Figures  Terminator 2,
505,Action Figures  Tomorrowland,
506,Hikari Transformers,
507,Action Figures  Trollhunters,
508,Mystery Vinyl  Trollhunters,
509,Plush Trollhunters,
510,Action Figures  Twin Peaks,
511,Pop! Vinyl Pop! UFC,
512,Pop! Vinyl Pop! Uglydoll,
513,Vinyl Ugly Doll,
514,Wacky Wobblers  Under Dog,
515,Action Figures  Universal Monsters,
516,Hikari Universal Monsters,
517,Plush  Universal Monsters,
518,Wacky Wobbler  Universal Monsters,
519,Hikari Voltron,
520,Mystery Minis  Series 4,
521,Mystery Minis  Series 5 - In Memoriam,
522,Mystery Vinyl  The Walking Dead,
523,Plush  The Walking Dead,
524,Pocket Pop!  The Walking Dead,
525,Vinyl The Walking Dead,
526,Vinyl  The Walking Dead,
527,Wacky Wobbler  The Walking Dead,
528,Wacky Wobbler  Looney Tunes,
529,Vinyl  Other,
530,Wacky Wobbler  Where the Wild Things Are,
531,Dorbz  Willy Wonka & the Chocolate Factory,
532,Vinyl  Willy Wonka,
533,Vinyl  Willy Wonka & the Chocolate Factory,
534,Plush  Wizard of Oz,
535,Dorbz  Warcraft,
536,Mystery Vinyl  Warcraft,
537,Mystery Vinyl  WWE,
538,Pocket Pop!  WWE,
539,Wacky Wobbler  The X-Files,
540,Dorbz  The Year Without a Santa Claus,
541,Vinyl  Young Frankenstein,
542,Mystery Minis  Zootopia,
543,Plush  Bananya,
544,Mystery Vinyl  Batman: The Animated Series,
545,Plush  Batman,
546,Plush  Buddy Thunderstruck,
547,Mystery Minis  Afternoon Cartoons,
548,Mystery Minis  Coco,
549,Other POP! Items  Other,
550,Mystery Vinyl  Harry Potter,
551,Plush  Hellboy,
552,Mystery Vinyl  Kingdom Hearts,
553,Plush  Spider-Man,
554,Dorbz Minis  Classic,
555,Mystery Vinyl  NHL,
556,Mystery Vinyl  Stranger Things,
557,Plush  Trollhunters,
558,Plush  Wetmore Forest,
