pop_id,name,franchise_name,franchise_id,category_name,category_id,price,item_number,image_url,release_date
45,Ace Ventura (Black Shirt),Freddy Funko,161,Pop! Vinyl Pop! Freddy Funko,22,$1360.00,19,https://cdn.poppriceguide.com/guide/itmimg/thumb/241_AceVenturaBlackRed.jpg,Released 2013
46,Ace Ventura (Blue Shirt),Freddy Funko,161,Pop! Vinyl Pop! Freddy Funko,22,$460.00,19,https://cdn.poppriceguide.com/guide/itmimg/thumb/240_AceVentura.jpg,Released 2013
47,Ace Ventura,Ace Ventura,11,Pop! Vinyl Pop! Movies,5,$185.00,32,https://cdn.poppriceguide.com/guide/itmimg/thumb/683_AceVentura.jpg,Released 2013
48,Finn,Star Wars,394,Wacky Wobbler Star Wars,196,$4.00,59,https://cdn.poppriceguide.com/guide/itmimg/thumb/4802_finn.jpg,
49,Flame Princess,Adventure Time,12,Pop! Vinyl Pop! Television,1,$10.00,302,https://cdn.poppriceguide.com/guide/itmimg/thumb/5520_flameprincess.jpg,
50,Jake,Adventure Time,12,Pop! Vinyl Pop! Television,1,$10.00,33,https://cdn.poppriceguide.com/guide/itmimg/thumb/984_Jake.jpg,Released 2013
51,Marceline,Adventure Time,12,Pop! Vinyl Pop! Television,1,$16.00,31,https://cdn.poppriceguide.com/guide/itmimg/thumb/980_Marceline.jpg,Released 2013
52,Princess Bubblegum,Adventure Time,12,Pop! Vinyl Pop! Television,1,$9.00,51,https://cdn.poppriceguide.com/guide/itmimg/thumb/1010_Princess-Bubblegum.jpg,
53,Princess Bubblegum (Lab Coat),Chase Pieces,82,Dorbz Adventure Time,29,$17.00,74,https://cdn.poppriceguide.com/guide/itmimg/thumb/6176_princessbubblegumlabcoatchase_1455077222.jpg,Released 2016
54,BMO,Adventure Time,12,Pop! Vinyl Pop! Television,1,$10.00,52,https://cdn.poppriceguide.com/guide/itmimg/thumb/1012_BMO.jpg,
55,Cake,Adventure Time,12,Pop! Vinyl Pop! Television,1,$26.00,55,https://cdn.poppriceguide.com/guide/itmimg/thumb/1017_Cake.jpg,
56,Finn (with Sword),Adventure Time,12,Pop! Vinyl Pop! Television,1,$55.00,32,https://cdn.poppriceguide.com/guide/itmimg/thumb/982_Finn--with-Sword-.jpg,Released 2013
